nct_id,number
NCT00089999,138
NCT00090103,2890
NCT00090142,9
NCT00090220,580
NCT00090233,10064
NCT00090259,110
NCT00090285,1598
NCT00090363,309
NCT00090402,5
NCT00090493,2
NCT00090519,148
NCT00090545,46
NCT00090584,112
NCT00090610,2
NCT00090753,984
NCT00090766,8
NCT00090779,62
NCT00090857,7
NCT00090987,21
NCT00091026,4
NCT00091169,110
NCT00091390,4
NCT00091442,742
NCT00091572,177
NCT00091793,46
NCT00091819,88
NCT00091832,77
NCT00091949,326
NCT00092118,173
NCT00092131,2
NCT00092417,6
NCT00092443,112
NCT00092456,87
NCT00092495,205
NCT00092521,1539
NCT00092534,1453
NCT00092547,186
NCT00092677,16
NCT00093015,1329
NCT00093145,17
NCT00093470,73
NCT00093496,4
NCT00093795,53
NCT00093808,2
NCT00094055,60
NCT00094094,32
NCT00094107,32
NCT00094172,21
NCT00094302,823
NCT00094328,1
NCT00094445,6
NCT00094458,238
NCT00094536,55
NCT00094575,292
NCT00094653,553
NCT00094757,145
NCT00094770,1027
NCT00094809,117
NCT00094835,20
NCT00094861,27
NCT00095056,23
NCT00095121,3
NCT00095147,92
NCT00095173,146
NCT00095199,841
NCT00095212,4
NCT00095238,1709
NCT00095303,295
NCT00095498,111
NCT00095576,2956
NCT00095628,1
NCT00095836,4
NCT00095940,50
NCT00095979,2
NCT00096018,16
NCT00096031,63
NCT00096044,34
NCT00096135,78
NCT00096174,62
NCT00096200,8
NCT00096226,3
NCT00096265,1
NCT00096278,38
NCT00096356,97
NCT00096382,2
NCT00096447,1
NCT00096486,4
NCT00096538,1
NCT00096785,3
NCT00096941,3
NCT00096954,44
NCT00096993,130
NCT00097370,78
NCT00097500,18
NCT00097539,46111
NCT00097591,804
NCT00097721,104
NCT00097773,27
NCT00097786,1211
NCT00097981,206
NCT00098020,6
NCT00098254,3
NCT00098293,680
NCT00098306,1062
NCT00098345,13
NCT00098475,366
NCT00098722,858
NCT00098748,155
NCT00098774,18
NCT00098787,211
NCT00098813,19
NCT00098839,65
NCT00098865,9
NCT00099268,174
NCT00099359,187
NCT00099437,715
NCT00099632,9
NCT00099983,49
NCT00100048,59
NCT00100178,29
NCT00100789,64
NCT00100802,80
NCT00100815,49
NCT00100828,6
NCT00100932,100
NCT00101010,1
NCT00101101,20
NCT00101166,10
NCT00101192,7
NCT00101283,3
NCT00101400,7
NCT00101439,2
NCT00101452,130
NCT00101582,26
NCT00101686,547
NCT00101868,61
NCT00101907,10
NCT00102063,44
NCT00102440,252
NCT00102531,16
NCT00102596,7
NCT00102687,112
NCT00102804,663
NCT00102960,81
NCT00103012,8
NCT00103038,13
NCT00103142,4
NCT00103207,38
NCT00103259,24
NCT00103285,1928
NCT00103311,5
NCT00103402,39
NCT00103506,646
NCT00103610,118
NCT00103662,52
NCT00103740,116
NCT00103857,510
NCT00104052,29
NCT00104104,147
NCT00104247,2
NCT00104299,19
NCT00104416,31
NCT00104520,121
NCT00104572,6
NCT00104637,1
NCT00104650,67
NCT00104676,21
NCT00104728,19
NCT00104871,1
NCT00104884,4
NCT00105066,7
NCT00105079,74
NCT00105157,145
NCT00105183,64
NCT00105196,53
NCT00105235,7
NCT00105443,602
NCT00105469,33
NCT00105482,114
NCT00105508,76
NCT00105521,60
NCT00105534,55
NCT00105560,1
NCT00105586,33
NCT00105989,345
NCT00106002,2
NCT00106028,18
NCT00106080,70
NCT00106184,5
NCT00106249,5
NCT00106353,69
NCT00106626,41
NCT00106639,12
NCT00106691,403
NCT00106704,282
NCT00106964,35
NCT00107042,38
NCT00107120,53
NCT00107172,10
NCT00107198,52
NCT00107276,72
NCT00107315,15
NCT00107380,30
NCT00107614,12
NCT00107653,155
NCT00107783,7
NCT00107900,80
NCT00107952,176
NCT00107978,83
NCT00107991,30
NCT00108069,43
NCT00108082,113
NCT00108160,60
NCT00108355,4
NCT00108433,38
NCT00108485,5
NCT00108628,30
NCT00108732,19
NCT00108745,106
NCT00108862,130
NCT00108953,62
NCT00109031,4
NCT00109343,131
NCT00109577,6
NCT00109590,8
NCT00109707,424
NCT00109733,6
NCT00109772,131
NCT00109837,23
NCT00109850,4
NCT00109928,13
NCT00109967,26
NCT00110019,819
NCT00110084,28
NCT00110149,3
NCT00110214,1012
NCT00110266,78
NCT00110305,146
NCT00110357,46
NCT00110396,36
NCT00110617,68
NCT00110812,42
NCT00110890,540
NCT00110994,128
NCT00111007,319
NCT00111228,6
NCT00111241,23
NCT00111475,1
NCT00111761,13
NCT00111800,81
NCT00111813,33
NCT00111839,143
NCT00111917,2
NCT00112047,196
NCT00112294,5
NCT00112359,40
NCT00112385,2
NCT00112437,160
NCT00112463,39
NCT00112489,40
NCT00112502,23
NCT00112580,27
NCT00112736,1
NCT00112840,8
NCT00112866,4
NCT00112905,12
NCT00112957,19
NCT00113074,34
NCT00113087,45
NCT00113269,128
NCT00113295,6
NCT00113360,7
NCT00113373,3
NCT00113386,11
NCT00113399,7
NCT00113490,5
NCT00113516,150
NCT00113529,34
NCT00113555,79
NCT00113568,545
NCT00113607,672
NCT00113763,99
NCT00113841,3
NCT00113919,14
NCT00114127,8
NCT00114140,7
NCT00114166,1
NCT00114218,4
NCT00114231,11
NCT00114244,9
NCT00114517,47
NCT00114530,29
NCT00114634,3
NCT00114738,23
NCT00114777,309
NCT00114959,8
NCT00114972,60
NCT00115037,100
NCT00115063,203
NCT00115336,1
NCT00115349,20
NCT00115739,3
NCT00115765,287
NCT00115778,1
NCT00115804,2
NCT00115934,6
NCT00116142,39
NCT00116168,11
NCT00116272,17
NCT00116428,8
NCT00116558,79
NCT00116584,3
NCT00116649,155
NCT00116688,96
NCT00116753,86
NCT00116779,40
