NCT_Number,PMID
NCT00033631,"[29543933, 37751207, 38320143]"
NCT00033865,[33928908]
NCT00033904,[18602688]
NCT00034060,[17662149]
NCT00034645,[17251530]
NCT00034749,[19182179]
NCT00034983,[30373688]
NCT00035321,"[17335320, 20361905, 22480387]"
NCT00035334,[17554116]
NCT00035594,[25851633]
NCT00035867,[19439093]
NCT00035906,[20212197]
NCT00035984,[22913891]
NCT00036088,[21586165]
NCT00036270,"[21247627, 29885375, 35100692]"
NCT00036335,"[25080392, 25980552]"
NCT00036374,[20822542]
NCT00036439,"[16339095, 25173754]"
NCT00036738,[32499241]
NCT00037154,"[16467543, 18355417]"
NCT00038610,"[25682595, 37208556]"
NCT00038727,"[19640960, 19878986, 22683134, 25775165, 28476766, 28702228, 28770322, 29081977, 30646133, 31009939, 33428709, 33789908, 35603600, 36131333, 37929764, 39744353]"
NCT00038896,[19358784]
NCT00038974,"[18463735, 19284286]"
NCT00039013,[22913891]
NCT00039026,[22913891]
NCT00039195,[38271621]
NCT00039377,[34162404]
NCT00040183,[26808546]
NCT00040326,[22396514]
NCT00040404,[18413464]
NCT00040677,[18192510]
NCT00040690,[18612102]
NCT00041392,[24105697]
NCT00041548,[19183804]
NCT00041938,"[22551105, 25850425, 26549533, 27354224, 28774396, 31779926, 38205865]"
NCT00042081,"[16287955, 25073921, 25261549, 26647082]"
NCT00042211,[17679633]
NCT00042458,[23748514]
NCT00043186,[16495394]
NCT00043550,"[22152401, 24176534, 28086005]"
NCT00043758,[17543634]
NCT00044083,[23794107]
NCT00044213,"[23532240, 24254885, 24490264, 24987051, 32446881, 35931285, 36570815]"
NCT00044486,[17251531]
NCT00044616,[23099447]
NCT00044655,[22480442]
NCT00044668,[22608106]
NCT00045032,"[16236737, 23871490, 23894039, 27100299, 28215665, 28379421]"
NCT00045435,[32499241]
NCT00046020,"[17685736, 17854250, 24345717]"
NCT00046228,"[18499565, 19850248, 20170878]"
NCT00046254,"[17878149, 24839241]"
NCT00046748,"[31760132, 33465457]"
NCT00047008,[20530316]
NCT00047073,[18215105]
NCT00047112,[25361220]
NCT00047320,[31545689]
NCT00047437,"[19351941, 19351942, 19755366, 20551371, 22016505, 22114101, 22560018, 22851113, 23936756, 24103327, 25443696, 25901047, 25940075, 26034004, 26519996, 26578668, 26796394, 26892413, 27395348, 28359513, 28454828, 28958347, 29094152, 29754673, 30497641, 31779928, 33564986, 34344360, 39735948]"
NCT00047645,"[28657784, 38238788]"
NCT00047723,[17980667]
NCT00047775,[24970468]
NCT00048230,"[19725827, 21791470]"
NCT00048321,[35976085]
NCT00048425,[24621834]
NCT00048542,"[18716298, 30054164]"
NCT00048568,[24786925]
NCT00048581,[29329602]
NCT00048737,[22586182]
NCT00048841,[17371886]
NCT00048932,[29329602]
NCT00048997,[30869743]
NCT00049036,[32107337]
NCT00049309,[29696211]
NCT00049322,[22244160]
NCT00049517,"[19776406, 26755712, 27446991, 36332294, 37185873, 37267439]"
NCT00049764,"[17350452, 24108117]"
NCT00049803,"[27778193, 27807903, 32356515]"
NCT00050206,"[19210948, 28922591]"
NCT00050778,"[18946064, 21960587, 27000249, 30654246, 32498033, 32583052]"
NCT00050817,"[16531616, 17498584, 20516378, 22450429, 25271049]"
NCT00051298,"[19057413, 19210948]"
NCT00051558,"[18003959, 19918047]"
NCT00051844,[35546205]
NCT00052026,[17848651]
NCT00052078,"[18974308, 20051130, 24129543, 24477837, 24565357, 25721183, 28735699, 28956620, 29960692, 31471911]"
NCT00052091,"[21199963, 26743100]"
NCT00052195,"[19236695, 20812851]"
NCT00052468,[21410972]
NCT00052936,"[18226581, 22337718, 28398499, 28614910, 35114151, 36479544, 39227453]"
NCT00053391,[28422751]
NCT00053560,[18634158]
NCT00053703,"[20494268, 22525956, 29920116]"
NCT00053898,"[26686957, 26686960]"
NCT00054587,[22049088]
NCT00054613,[18621929]
NCT00054704,"[28338546, 35092868]"
NCT00054886,"[25577718, 27238653]"
NCT00055120,"[19440326, 20617176]"
NCT00055497,[29380251]
NCT00055575,[23364679]
NCT00055601,[23823157]
NCT00055679,[28501763]
NCT00055731,[26028518]
NCT00055874,"[19965667, 24622328, 24658964, 25465231, 25918346]"
NCT00056056,[22924950]
NCT00056160,"[18032763, 18799726]"
NCT00056225,[18854539]
NCT00056368,[17568028]
NCT00056407,"[20357281, 22658758, 28396999]"
NCT00056472,"[17335316, 18384244, 18408527, 19652123, 24229753, 25919834, 28445632]"
NCT00056498,[20664583]
NCT00056524,[25062507]
NCT00056693,[29161241]
NCT00056823,[23361508]
NCT00056836,"[17021318, 17998507, 22661474, 23361508, 23453513, 24424249, 34518162, 37086257]"
NCT00057018,"[17077374, 18077218, 20814005, 37386512]"
NCT00057122,[21732833]
NCT00057330,"[22216840, 24285844, 35199165]"
NCT00057369,[34905144]
NCT00057551,[28068460]
NCT00057564,[18362366]
NCT00057577,"[25142196, 31799993, 31896529, 33326891]"
NCT00057681,"[17335331, 22213771, 22917200, 26598476, 26598475]"
NCT00058201,"[20823433, 22782416, 31483448]"
NCT00058474,"[35749631, 39080091]"
NCT00058682,"[21961941, 22026929]"
NCT00059306,"[20446946, 21371282, 22750086, 22826359, 22931315, 24523037, 25034716, 25158772, 25190442, 25452300, 25453457, 26019129, 26553236, 26762524, 26888535, 26956031, 28351962, 31423869, 32371759, 33481011, 35114798, 36876480, 38214239]"
NCT00059332,"[25651247, 26265130, 26658446, 27679533, 28389617, 29301973, 30039165, 31955642, 35380053, 36878722, 38126183]"
NCT00059371,"[17321310, 30055581]"
NCT00059839,[25156886]
NCT00060424,[32499241]
NCT00060762,[20048227]
NCT00061022,[17687131]
NCT00061048,[23321252]
NCT00061321,"[18657709, 19119321, 23114104, 29590318]"
NCT00061360,[34724566]
NCT00061594,"[17021319, 19139332, 23453513, 24424249]"
NCT00061893,[23065953]
NCT00061984,[24618336]
NCT00062595,[20881072]
NCT00062647,[24884578]
NCT00062673,"[17588276, 25080392]"
NCT00063089,[17893153]
NCT00063193,[24711047]
NCT00063453,[27519183]
NCT00063622,"[18804555, 20427778, 22338037, 23718573, 24849310, 25429853, 27933201, 32337059, 37933187]"
NCT00063635,"[19761871, 21521847, 22338037]"
NCT00063687,[18549913]
NCT00064038,[20876454]
NCT00064428,"[16537725, 18042917]"
NCT00064623,[23351618]
NCT00064662,"[17517855, 20093904]"
NCT00064792,[27053961]
NCT00065156,"[17021321, 28651604]"
NCT00065260,[22067384]
NCT00065325,[39046616]
NCT00065351,[19471019]
NCT00065442,"[20818862, 24957547, 25189164, 26688132]"
NCT00065468,"[17538086, 25577718, 27238653]"
NCT00065585,"[18307808, 19860906]"
NCT00065715,[21173411]
NCT00065806,"[23436914, 25396060, 25396067, 25902709]"
NCT00065845,"[18591307, 32769645]"
NCT00065858,[17766603]
NCT00065910,[20145986]
NCT00066027,"[17716313, 17716312, 21422479]"
NCT00066131,[17079762]
NCT00066170,"[29221779, 32356515]"
NCT00066443,"[26063893, 26208483, 26543765]"
NCT00066573,"[28379421, 29274617, 33853037, 38824432]"
NCT00066690,"[24095609, 24881463, 25495490, 26092816, 28911092, 29863451]"
NCT00066703,"[24095609, 24881463, 26092816, 27825388, 28911092, 29863451]"
NCT00066781,[22815703]
NCT00066872,"[20409337, 24332516]"
NCT00066898,[18502300]
NCT00067093,"[17855670, 19348685]"
NCT00067119,"[18477783, 19458364]"
NCT00067470,[33874971]
NCT00067808,[18055864]
NCT00067912,[25080392]
NCT00068601,[25738668]
NCT00068848,[17540797]
NCT00068861,"[17287476, 21645894, 22617579, 25324541, 26036903, 26354094, 38154770, 39173182]"
NCT00069238,[35882475]
NCT00069329,"[16899778, 25223501, 27143789]"
NCT00069641,"[22929184, 33874971]"
NCT00069823,"[19357404, 19661245]"
NCT00070018,[25395425]
NCT00070174,"[20056794, 20413658, 22378848, 22649108, 26644412, 28411282, 36815378, 37267439, 38295280]"
NCT00070655,"[18294998, 19348685]"
NCT00070720,[18450604]
NCT00071032,"[22168590, 25499165]"
NCT00071097,[17416261]
NCT00071110,[21672495]
NCT00071214,[25483694]
NCT00071279,[17855671]
NCT00071331,"[17384437, 17384438, 18992654, 24737459, 27140204, 27266853]"
NCT00071487,"[24187095, 34531304, 34628605, 38775637]"
NCT00071617,[30725077]
NCT00071695,[25080392]
NCT00071773,[17420366]
NCT00071799,[19230772]
NCT00071812,[23547209]
NCT00072033,[28742685]
NCT00072358,[22203761]
NCT00072683,[17105757]
NCT00072761,"[22096242, 22966170, 25140956, 25236783, 28834316, 30094930, 34607344]"
NCT00073021,[21385195]
NCT00073307,"[17215530, 34775477]"
NCT00073411,"[25080392, 25980552]"
NCT00073437,[19395578]
NCT00073528,"[24155635, 27281556]"
NCT00073840,[20851928]
NCT00074048,[18596230]
NCT00074152,[24439313]
NCT00074399,[18657709]
NCT00074412,"[22196945, 25885678]"
NCT00074425,[24898857]
NCT00074542,[18398081]
NCT00074581,"[21767103, 24602844, 27424812]"
NCT00074711,[20484446]
NCT00074815,"[19183470, 21934055, 25457929, 28412602]"
NCT00075049,"[19569965, 32236404]"
NCT00075218,[17046465]
NCT00075270,[20095796]
NCT00075478,[32499241]
NCT00075582,[39621093]
NCT00075725,"[24970932, 26124497, 26265699, 26590194, 33496745, 36725118, 38446568]"
NCT00075764,"[22853014, 28586789, 30917258]"
NCT00075803,[20826719]
NCT00075816,"[23075175, 27532508, 31345792]"
NCT00075829,[21962393]
NCT00075998,"[19570573, 28657784, 31047956, 34610600, 38238788]"
NCT00076011,[17959415]
NCT00076050,[21824950]
NCT00076063,[25253665]
NCT00076076,"[26498386, 26612545]"
NCT00076089,"[21272339, 28419462]"
NCT00076219,"[18492867, 28443283, 32470389, 36068554, 38461657]"
NCT00076232,"[18572080, 20214474]"
NCT00076388,[19027483]
NCT00076492,[24711047]
NCT00076726,"[17470830, 21873264]"
NCT00076752,[34875023]
NCT00077610,[17950856]
NCT00077636,[17625124]
NCT00077753,[20621900]
NCT00077792,"[16537665, 20400762]"
NCT00077844,"[16957147, 19926048]"
NCT00077974,"[16757724, 25577718, 27238653]"
